Заказ;ДЕТСКОЕ ПИТАНИЕ;ЖЕНСКИЕ ШТУЧКИ;ИГРУШКИ;КАНЦТОВАРЫ, КНИГИ, ДИСКИ;КОСМЕТИКА/ГИГИЕНА;КРУПНОГАБАРИТНЫЙ ТОВАР;ОБУВЬ;ПОДГУЗНИКИ;СОПУТСТВУЮЩИЕ ТОВАРЫ;ТЕКСТИЛЬ, ТРИКОТАЖ;ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА;ТОВАРЫ ДЛЯ ЖИВОТНЫХ;ТОВАРЫ ДЛЯ КОРМЛЕНИЯ
1867002570_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002571_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002572_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002573_TR;0;0;0;0;0;2;0;0;0;0;0;0;0
1867002575_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002578_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002579_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002580_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002581_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002582_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002583_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002584_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002585_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002586_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002587_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002588_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002589_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002591_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002593_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002594_TR;0;0;0;0;0;2;0;0;0;0;0;0;0
1867002595_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002597_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002598_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002599_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002602_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002603_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002604_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002606_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002607_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002608_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002609_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002610_TR;0;0;0;0;0;2;0;0;0;0;0;0;0
1867002611_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002612_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002613_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002616_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002617_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002618_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002619_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002620_TR;0;0;0;0;0;0;0;0;0;1;0;0;0
1867002621_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002623_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002624_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002626_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002629_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002630_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002631_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002632_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002634_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002636_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002637_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002638_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002639_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002640_TR;0;0;0;0;0;0;0;0;0;1;0;0;0
1867002641_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002642_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002643_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002644_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002645_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002646_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002647_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002648_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002649_TR;0;0;0;0;0;3;0;0;0;0;0;0;0
1867002650_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002652_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002654_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002656_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002657_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002658_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002659_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002660_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002662_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002663_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002664_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002665_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002666_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002667_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002668_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002669_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002670_TR;0;0;0;0;0;0;0;0;0;0;0;0;1
1867002672_TR;0;0;0;0;0;3;0;0;0;1;0;0;0
1867002673_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002674_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002675_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002676_TR;0;0;1;0;0;0;0;0;0;0;0;0;0
1867002677_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002678_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002679_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002680_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002682_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002684_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002685_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002689_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002690_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002691_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002694_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002695_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002696_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002697_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002698_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002699_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002700_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002701_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002702_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002703_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002704_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002705_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002706_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002707_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002708_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002711_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002712_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002713_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002714_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002715_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002716_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002717_TR;0;0;1;0;0;0;0;0;0;0;0;0;0
1867002718_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002719_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002721_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002722_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002723_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002724_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002726_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002727_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002729_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002730_TR;0;0;0;0;0;2;0;0;0;0;0;0;0
1867002733_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002735_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002737_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002738_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002739_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002741_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002742_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002743_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002744_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002745_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002746_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002747_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002748_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002750_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002751_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002752_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002753_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002754_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002755_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002756_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002757_TR;0;0;0;0;0;1;0;0;0;1;0;0;0
1867002758_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002759_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002760_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002761_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002762_TR;0;0;0;0;0;1;0;0;0;1;0;0;0
1867002763_TR;0;0;0;0;0;0;0;0;0;1;0;0;0
1867002765_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002766_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002767_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002769_TR;0;0;0;0;0;2;0;0;0;0;0;0;0
1867002771_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002772_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002774_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002775_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002776_TR;0;0;0;0;0;2;0;0;0;0;0;0;0
1867002777_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002779_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
